HQ2,SQ3,,HQ2,SQ3,수
50대,여자,,20대,남자,30
30대,남자,,30대,남자,69
30대,남자,,40대,남자,44
20대,여자,,50대,남자,77
50대,여자,,60대 이상,남자,105
40대,여자,,20대,여자,38
60대 이상,여자,,30대,여자,222
60대 이상,여자,,40대,여자,323
50대,여자,,50대,여자,512
60대 이상,여자,,60대 이상,여자,736
40대,여자,,,,
40대,여자,,,,
50대,여자,,,,
60대 이상,여자,,,,
60대 이상,여자,,,,
50대,여자,,,,
50대,여자,,,,
60대 이상,여자,,,,
20대,남자,,,,
60대 이상,여자,,,,
50대,여자,,,,
50대,여자,,,,
20대,남자,,,,
60대 이상,여자,,,,
40대,여자,,,,
20대,남자,,,,
50대,여자,,,,
30대,여자,,,,
20대,남자,,,,
40대,여자,,,,
60대 이상,여자,,,,
20대,남자,,,,
30대,여자,,,,
60대 이상,여자,,,,
20대,여자,,,,
40대,여자,,,,
60대 이상,여자,,,,
50대,여자,,,,
50대,여자,,,,
60대 이상,여자,,,,
60대 이상,여자,,,,
50대,여자,,,,
50대,여자,,,,
40대,여자,,,,
30대,여자,,,,
40대,여자,,,,
50대,여자,,,,
50대,여자,,,,
30대,여자,,,,
60대 이상,여자,,,,
60대 이상,여자,,,,
30대,여자,,,,
60대 이상,여자,,,,
40대,여자,,,,
60대 이상,여자,,,,
20대,남자,,,,
40대,여자,,,,
60대 이상,여자,,,,
50대,여자,,,,
60대 이상,여자,,,,
60대 이상,여자,,,,
50대,여자,,,,
50대,여자,,,,
60대 이상,여자,,,,
60대 이상,여자,,,,
50대,여자,,,,
40대,여자,,,,
60대 이상,여자,,,,
60대 이상,여자,,,,
60대 이상,남자,,,,
50대,여자,,,,
30대,여자,,,,
40대,여자,,,,
40대,여자,,,,
60대 이상,여자,,,,
50대,여자,,,,
50대,여자,,,,
50대,여자,,,,
60대 이상,여자,,,,
50대,여자,,,,
40대,여자,,,,
40대,여자,,,,
60대 이상,여자,,,,
50대,여자,,,,
60대 이상,여자,,,,
60대 이상,여자,,,,
50대,여자,,,,
40대,여자,,,,
60대 이상,여자,,,,
60대 이상,여자,,,,
30대,여자,,,,
30대,여자,,,,
30대,여자,,,,
40대,여자,,,,
40대,여자,,,,
50대,여자,,,,
60대 이상,여자,,,,
60대 이상,여자,,,,
50대,여자,,,,
30대,여자,,,,
30대,남자,,,,
60대 이상,여자,,,,
50대,여자,,,,
60대 이상,남자,,,,
30대,남자,,,,
20대,여자,,,,
50대,여자,,,,
60대 이상,여자,,,,
50대,여자,,,,
40대,여자,,,,
50대,여자,,,,
60대 이상,여자,,,,
60대 이상,여자,,,,
50대,여자,,,,
50대,여자,,,,
50대,여자,,,,
50대,여자,,,,
30대,남자,,,,
